timestamp,open,high,low,close,volume,new_open,next_open
2023-11-30 19:55:00,190.2,190.31,190.19,190.3,15116,190.19, 190.2
2023-11-30 19:50:00,190.19,190.24,190.14,190.2,5504,190.2,190.2
2023-11-30 19:45:00,190.2,190.24,190.13,190.19,10184,190.13,190.19
2023-11-30 19:40:00,190.13,190.24,190.12,190.2,5912,190.11,190.2
2023-11-30 19:35:00,190.11,190.16,190.1,190.13,385,190.11,190.13
2023-11-30 19:30:00,190.11,190.17,190.1,190.1,1643,190.18,190.11
2023-11-30 19:25:00,190.18,190.18,190.1,190.135,348,190.145,190.11
2023-11-30 19:20:00,190.145,190.18,190.1,190.14,106,190.09,190.18
2023-11-30 19:15:00,190.09,190.18,190.07,190.145,9764,190.12,190.145
2023-11-30 19:10:00,190.12,190.15,190.06,190.105,327,190.1,190.09
2023-11-30 19:05:00,190.1,190.16,190.05,190.145,5101,190.11,190.12
2023-11-30 19:00:00,190.11,190.13,190.06,190.1,648,190.17,190.1
2023-11-30 18:55:00,190.17,190.19,190.05,190.1,5941,190.13,190.11
2023-11-30 18:50:00,190.13,190.22,190.13,190.17,1614,190.165,190.17
2023-11-30 18:45:00,190.165,190.2,190.13,190.16,1649,190.15,190.13
2023-11-30 18:40:00,190.15,190.19,190.12,190.14,1563,190.11,190.165
2023-11-30 18:35:00,190.11,190.24,190.11,190.15,2060,190.175,190.15
2023-11-30 18:30:00,190.175,190.24,189.95,190.14,1793,190.15,190.11
2023-11-30 18:25:00,190.15,190.24,190.05,190.17,2991,190.16,190.175
2023-11-30 18:20:00,190.16,190.24,190.05,190.15,1788,190.07,190.15
2023-11-30 18:15:00,190.07,190.16,190.05,190.155,4340,190.05,190.16
2023-11-30 18:10:00,190.05,190.08,190.05,190.07,1481,190.025,190.07
2023-11-30 18:05:00,190.025,190.07,190.0,190.065,2916,189.93,190.05
2023-11-30 18:00:00,189.93,190.04,189.92,190.01,3706,190.06,190.025
2023-11-30 17:55:00,190.06,190.09,189.92,189.985,14454,190.01,189.93
2023-11-30 17:50:00,190.01,190.06,190.0,190.05,1435,189.9,190.06
2023-11-30 17:45:00,189.9,190.09,189.9,190.035,4610,189.91,190.01
2023-11-30 17:40:00,189.91,189.95,189.88,189.94,1859,190.04,189.9
2023-11-30 17:35:00,190.04,190.05,189.88,189.92,4532,189.94,189.91
2023-11-30 17:30:00,189.94,190.04,187.829,190.04,17403,189.95,190.04
2023-11-30 17:25:00,189.95,190.0,189.88,189.97,7770,189.89,189.94
2023-11-30 17:20:00,189.89,189.95,189.87,189.94,5242,189.91,189.95
2023-11-30 17:15:00,189.91,189.94,189.89,189.939,3267,189.915,189.89
2023-11-30 17:10:00,189.915,189.94,189.87,189.9,5687,189.88,189.91
2023-11-30 17:05:00,189.88,189.93,189.87,189.91,4526,189.88,189.915
2023-11-30 17:00:00,189.88,189.94,188.64,189.87,3975,189.84,189.88
2023-11-30 16:55:00,189.84,189.91,189.84,189.87,6564,189.84,189.88
2023-11-30 16:50:00,189.84,189.95,189.84,189.84,249751,189.943,189.84
2023-11-30 16:45:00,189.943,189.957,189.83,189.845,148735,189.87,189.84
2023-11-30 16:40:00,189.87,189.95,189.85,189.943,215324,189.88,189.943
2023-11-30 16:35:00,189.88,189.95,189.85,189.86,21457,189.86,189.87
2023-11-30 16:30:00,189.86,189.89,189.86,189.87,774,189.85,189.88
2023-11-30 16:25:00,189.85,189.92,189.85,189.87,4179,189.95,189.86
2023-11-30 16:20:00,189.95,189.95,189.85,189.87,25877,189.95,189.85
2023-11-30 16:15:00,189.95,189.98,189.83,189.9,579611,189.87,189.95
2023-11-30 16:10:00,189.87,189.969,189.82,189.95,292753,189.84,189.95
2023-11-30 16:05:00,189.84,189.95,189.81,189.869,68474,189.94,189.87
2023-11-30 16:00:00,189.94,190.29,189.79,189.855,26195529,189.87,189.84
2023-11-30 15:55:00,189.87,190.2,189.83,189.95,2839917,189.28,189.94
2023-11-30 15:50:00,189.28,190.08,189.28,189.874,2059483,189.48,189.87
2023-11-30 15:45:00,189.48,189.495,189.2,189.29,791403,189.13,189.28
2023-11-30 15:40:00,189.13,189.501,189.11,189.49,858943,188.985,189.48
2023-11-30 15:35:00,188.985,189.14,188.97,189.13,372435,188.765,189.13
2023-11-30 15:30:00,188.765,189.01,188.76,188.99,408729,188.77,188.985
2023-11-30 15:25:00,188.77,188.805,188.69,188.78,309290,188.9,188.765
2023-11-30 15:20:00,188.9,188.95,188.76,188.77,314940,188.96,188.77
2023-11-30 15:15:00,188.96,189.0,188.893,188.905,250622,188.85,188.9
2023-11-30 15:10:00,188.85,188.98,188.84,188.955,279653,189.07,188.96
2023-11-30 15:05:00,189.07,189.07,188.84,188.84,337024,189.175,188.85
2023-11-30 15:00:00,189.175,189.195,189.04,189.075,263255,189.1,189.07
2023-11-30 14:55:00,189.1,189.21,189.07,189.175,239503,189.13,189.175
2023-11-30 14:50:00,189.13,189.14,189.02,189.095,280043,188.975,189.1
2023-11-30 14:45:00,188.975,189.135,188.96,189.12,343480,188.85,189.13
2023-11-30 14:40:00,188.85,188.99,188.84,188.975,306467,188.741,188.975
2023-11-30 14:35:00,188.741,188.85,188.741,188.85,200808,188.788,188.85
2023-11-30 14:30:00,188.788,188.8,188.64,188.75,228135,188.78,188.741
2023-11-30 14:25:00,188.78,188.818,188.71,188.79,323620,188.7,188.788
2023-11-30 14:20:00,188.7,188.785,188.68,188.785,162347,188.765,188.78
2023-11-30 14:15:00,188.765,188.83,188.65,188.703,316377,188.68,188.7
2023-11-30 14:10:00,188.68,188.77,188.65,188.76,231053,188.649,188.765
2023-11-30 14:05:00,188.649,188.713,188.61,188.675,226187,188.51,188.68
2023-11-30 14:00:00,188.51,188.665,188.5,188.65,198356,188.384,188.649
2023-11-30 13:55:00,188.384,188.51,188.37,188.51,195083,188.425,188.51
2023-11-30 13:50:00,188.425,188.44,188.34,188.389,174214,188.49,188.384
2023-11-30 13:45:00,188.49,188.498,188.415,188.43,167308,188.635,188.425
2023-11-30 13:40:00,188.635,188.66,188.47,188.49,224002,188.705,188.49
2023-11-30 13:35:00,188.705,188.768,188.6,188.635,215542,188.335,188.635
2023-11-30 13:30:00,188.335,188.72,188.29,188.7,316508,188.45,188.705
2023-11-30 13:25:00,188.45,188.48,188.305,188.33,174182,188.33,188.335
2023-11-30 13:20:00,188.33,188.46,188.3,188.45,225755,188.32,188.45
2023-11-30 13:15:00,188.32,188.41,188.31,188.33,196391,188.355,188.33
2023-11-30 13:10:00,188.355,188.42,188.27,188.311,284602,188.56,188.32
2023-11-30 13:05:00,188.56,188.6,188.35,188.355,243426,188.7,188.355
2023-11-30 13:00:00,188.7,188.7,188.56,188.569,222592,188.64,188.56
2023-11-30 12:55:00,188.64,188.73,188.61,188.702,182445,188.66,188.7
2023-11-30 12:50:00,188.66,188.759,188.64,188.645,249811,188.515,188.64
2023-11-30 12:45:00,188.515,188.69,188.48,188.665,218401,188.33,188.66
2023-11-30 12:40:00,188.33,188.525,188.3,188.51,359482,188.285,188.515
2023-11-30 12:35:00,188.285,188.395,188.28,188.33,180100,188.35,188.33
2023-11-30 12:30:00,188.35,188.45,188.27,188.285,237775,188.44,188.285
2023-11-30 12:25:00,188.44,188.466,188.31,188.35,233247,188.44,188.35
2023-11-30 12:20:00,188.44,188.53,188.41,188.445,173639,188.56,188.44
2023-11-30 12:15:00,188.56,188.59,188.42,188.45,291148,188.553,188.44
2023-11-30 12:10:00,188.553,188.61,188.51,188.569,196251,188.5,188.56
2023-11-30 12:05:00,188.5,188.6,188.49,188.555,213700,188.25,188.553
2023-11-30 12:00:00,188.25,188.59,188.19,188.485,374400,188.32,188.5
2023-11-30 11:55:00,188.32,188.355,188.19,188.24,367124,188.38,188.25
2023-11-30 11:50:00,188.38,188.46,188.3,188.322,247037,188.365,188.32
2023-11-30 11:45:00,188.365,188.44,188.26,188.39,350859,188.28,188.38
2023-11-30 11:40:00,188.28,188.41,188.25,188.362,363752,188.425,188.365
2023-11-30 11:35:00,188.425,188.44,188.27,188.28,282634,188.48,188.28
2023-11-30 11:30:00,188.48,188.535,188.29,188.425,340180,188.62,188.425
2023-11-30 11:25:00,188.62,188.75,188.44,188.48,253591,188.5,188.48
2023-11-30 11:20:00,188.5,188.66,188.475,188.61,250342,188.54,188.62
2023-11-30 11:15:00,188.54,188.65,188.45,188.495,289538,188.54,188.5
